GLASS#	UniProt	Ligand standard InChI Key	Param	Min	Max	Unit	Reference (PMID or other citations)												
550574	Q8TDV5	MXNQTDFHRASIGP-LJQANCHMSA-N	Activity	79.3	79.3	%	27560285												
550836	Q8TDV5	OFJTZKPUEJEECX-UHFFFAOYSA-N	Activity	69.6	69.6	%	27560285												
550871	Q8TDV5	OJFKINUWQPGYAQ-HSZRJFAPSA-N	Activity	16.2	16.2	%	27560285												
550924	Q8TDV5	OOHHLSUQBGSPKB-HSZRJFAPSA-N	Activity	70.7	70.7	%	27560285												
550970	Q8TDV5	OTSVYRAXFRBDPQ-HXUWFJFHSA-N	Activity	61.3	61.3	%	27560285												
551390	Q8TDV5	QKROTEAGWLXQOJ-OAQYLSRUSA-N	Activity	54.8	54.8	%	27560285												
551452	Q8TDV5	QQMWDGOSQJPGFB-HSZRJFAPSA-N	Activity	27.9	27.9	%	27560285												
551604	Q8TDV5	RKULEWXSZJQINA-JOCHJYFZSA-N	Activity	42.7	42.7	%	27560285												
551918	Q8TDV5	STKIXWLFUOFNJD-XMMPIXPASA-N	Activity	26.2	26.2	%	27560285												
552084	Q8TDV5	UGISYCWYYHDKFD-HSZRJFAPSA-N	Activity	29.9	29.9	%	27560285												
552102	Q8TDV5	UISRXNNCZIMUJC-OAQYLSRUSA-N	Activity	60.4	60.4	%	27560285												
552253	Q8TDV5	UVTYUCFOMYCFLN-HXUWFJFHSA-N	Activity	54.2	54.2	%	27560285												
552430	Q8TDV5	VVDRRDQDABYLIZ-OAQYLSRUSA-N	Activity	31.9	31.9	%	27560285												
552554	Q8TDV5	WLTNUGDERYSWIP-JOCHJYFZSA-N	Activity	61.8	61.8	%	27560285												
552772	Q8TDV5	XPFRJKUWANFLPV-HXUWFJFHSA-N	Activity	51.4	51.4	%	27560285												
552774	Q8TDV5	XPNLCZIPHRBXMF-JOCHJYFZSA-N	Activity	9.8	9.8	%	27560285												
552921	Q8TDV5	YKPYKXNARKJIFA-HSZRJFAPSA-N	Activity	44.4	44.4	%	27560285												
552964	Q8TDV5	YMHZIAVPHDTARA-UHFFFAOYSA-N	Activity	36.5	36.5	%	27560285												
553104	Q8TDV5	ZFYJKRWMDHXXHJ-HSZRJFAPSA-N	Activity	81.5	81.5	%	27560285												
553214	Q8TDV5	ZVJRBXAMLPFLPK-HXUWFJFHSA-N	Activity	63.9	63.9	%	27560285												
5448	Q8TDV5	AHDLBQCSXWLNPI-UHFFFAOYSA-N	EC	350	350	nM	23010456												
9490	Q8TDV5	ANESWNKKPIMPNA-UHFFFAOYSA-N	EC	1.2	1.2	uM	"2,236,591,122,836,190"												
14407	Q8TDV5	ATXOYMHOFWTUIB-UHFFFAOYSA-N	EC	0.34	0.34	uM	22836190												
14643	Q8TDV5	AUHWOXORHMSFJY-UHFFFAOYSA-N	EC	5.9	5.9	uM	22365911												
30133	Q8TDV5	BQCDMQWHENHZJK-UHFFFAOYSA-N	EC	0.22	0.22	uM	22836190												
